round,n1,n2,n3,n4,n5,n6,bonus
873,4,6,17,26,36,43,38
874,9,13,28,31,36,44,37
875,13,26,36,37,40,42,38
876,5,16,18,21,28,45,42
877,6,8,24,27,28,43,26
878,2,13,20,21,23,39,12
879,10,23,29,40,43,44,3
880,6,8,10,13,15,24,4
881,1,10,16,19,22,40,9
882,2,14,20,22,29,31,41
883,14,17,34,35,36,45,33
884,2,10,25,38,40,43,37
885,3,4,11,13,17,19,24
886,1,4,5,25,30,42,21
887,2,7,19,24,43,45,29
888,7,15,21,25,32,33,45
889,6,12,13,30,33,35,42
890,2,3,16,20,22,34,38
891,2,11,23,26,41,42,22
892,4,16,17,18,33,41,29
893,2,10,15,18,22,36,31
894,6,9,25,34,40,43,17
895,10,16,20,27,28,37,45
896,9,14,22,29,35,42,44
897,9,13,20,34,35,44,10
898,10,11,21,28,37,42,5
899,8,10,12,21,35,36,2
900,18,20,21,27,29,44,10
901,2,7,9,12,13,40,23
902,15,37,39,40,42,45,16
903,2,6,9,23,31,44,38
904,12,24,25,31,39,42,36
905,3,9,11,13,15,31,33
906,1,13,14,15,18,27,6
907,12,21,29,30,32,40,17
908,3,21,25,26,28,39,31
909,3,34,35,37,39,40,38
910,3,7,16,29,30,34,41
911,3,4,25,26,34,36,15
912,19,20,26,29,30,45,11
913,4,10,19,28,34,40,35
914,6,8,12,29,33,42,44
915,9,21,26,27,35,45,33
916,2,12,13,30,38,43,7
917,6,8,11,17,21,42,10
918,6,24,25,29,34,41,38
919,3,11,25,36,40,43,13
920,10,11,22,37,42,43,14
921,4,19,20,27,29,43,13
922,1,8,9,13,17,40,2
923,1,30,32,35,39,44,36
924,14,16,27,30,31,38,34
925,1,6,16,36,39,44,21
926,4,12,14,36,40,41,11
927,3,4,10,23,42,44,41
928,4,6,7,20,22,39,32
929,11,12,19,37,39,40,42
930,3,6,12,24,30,38,23
931,5,21,24,25,28,36,6
932,8,9,18,19,22,31,40
933,4,14,27,34,40,43,8
934,6,31,34,37,39,41,20
935,17,21,28,34,37,39,25
936,9,32,34,37,40,42,35
937,1,12,13,15,19,40,9
938,2,8,14,30,40,41,31
939,3,14,22,23,27,36,1
940,5,13,17,19,20,41,25
941,1,8,21,22,33,36,26
942,2,12,13,26,37,40,25
943,3,9,22,31,43,44,35
944,10,22,30,35,41,43,29
945,4,20,21,34,36,37,41
946,2,5,14,22,23,37,12
947,2,18,22,25,35,41,12
948,8,12,25,37,39,44,22
949,3,6,18,21,27,32,19
950,14,20,24,29,34,43,12
951,3,6,8,13,24,29,39
952,2,10,13,22,31,33,37
953,7,10,20,21,34,45,11
954,3,8,14,25,30,34,1
955,3,6,20,22,30,39,4
956,2,7,20,34,37,43,23
957,13,14,19,21,41,42,22
958,8,10,18,21,29,35,13
959,1,8,18,33,36,40,9
960,14,18,21,23,35,36,10
961,5,11,16,19,20,37,27
962,2,4,9,29,31,35,6
963,4,6,7,25,26,28,15
964,23,29,38,39,40,41,20
965,6,13,22,30,35,43,42
966,6,7,9,20,30,43,35
967,10,15,17,31,40,44,27
968,12,21,22,26,30,43,37
969,2,5,8,23,31,43,35
970,9,11,19,23,37,39,38
971,5,7,21,26,36,45,23
972,16,26,27,30,35,38,17
973,5,11,22,25,31,36,16
974,22,28,37,38,43,45,39
975,5,12,16,32,37,45,9
976,7,21,30,36,38,39,32
977,5,7,12,20,26,39,45
978,4,6,21,25,32,42,16
979,1,9,10,38,41,43,32
980,19,25,29,35,37,40,13
981,14,20,21,37,42,44,31
982,1,6,23,33,38,40,29
983,4,9,19,24,36,43,1
984,2,8,16,19,23,36,33
985,21,25,26,38,41,45,29
986,12,14,25,28,31,35,9
987,10,13,24,25,27,36,21
988,1,2,5,9,43,44,14
989,6,9,28,32,42,43,30
990,12,28,30,39,40,45,36
991,15,23,25,28,29,36,12
992,1,16,28,32,37,39,38
993,3,18,24,27,35,37,4
994,8,24,31,37,38,44,6
995,6,10,18,30,34,44,39
996,5,6,16,31,40,41,39
997,4,20,22,35,38,40,1
998,22,30,31,33,37,45,28
999,3,11,19,23,39,44,24
1000,4,17,31,37,38,41,12
